Raw_Name,New_Name
SS skulls,Skull Crushers
Cable Row,Cable Row
Inc bench,Incline Bench Press
Cable row,Cable Row
SA tri pd,SA Tri PD
Bench dip,Bench Dips
Leg curl,Leg Curl Machine
Tri pull,DA Tri PD
Dip Mach,Dip Machine
Row Mach,Row Machine
Preacher,Preacher Machine
Tru push,DA Tri PD
Bar curl,Barbell Curl
Bent row,Barbell Row
Row mach,Row Machine
Tri rope,DA Tri PD
Tri push,DA Tri PD
Dips bw,Dip
Ez curl,EZ Bar Curl
Leg ext,Leg Extension Machine
Dec hs,Decline HammerStrength
Def hs,Decline HammerStrength
Skulls,Skull Crushers
Inc hs,Incline HammerStrength
Skull,Skull Crushers
Bench,Flat Bench Press
Conc,Concentration Curl
Flat Flat,Flat
Press Press,Press
Concentration Curlentration,Concentration
Crushers Crushers,Crushers
Machine Machine,Machine
Machineine,Machine
